
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
02:5D:4D:DF:57:90, 2024-09-03 15:07:15, 2024-09-03 15:07:15, -90,        2, E4:CA:12:EC:09:7E,
F6:C3:E3:C9:86:C0, 2024-09-03 15:07:17, 2024-09-03 15:07:22, -91,        2, F8:64:B8:0D:08:48,
F6:03:D8:AB:5E:6F, 2024-09-03 15:07:16, 2024-09-03 15:07:23, -84,       48, F8:64:B8:0D:08:48,
84:E3:42:02:76:BE, 2024-09-03 15:07:15, 2024-09-03 15:07:24, -53,       15, (not associated) ,🐇
F8:A2:D6:52:B8:9F, 2024-09-03 15:07:15, 2024-09-03 15:07:21,  -1,       13, E4:CA:12:EC:09:7E,
82:EB:69:68:75:AD, 2024-09-03 15:07:17, 2024-09-03 15:07:17,  -1,        1, F8:64:B8:0D:08:48,
F2:C3:2E:89:3E:9A, 2024-09-03 15:07:24, 2024-09-03 15:07:24, -88,        1, 14:A0:F8:F9:6D:8C,

